X,Y,REF_ID_COD,UNIQUE_ID,DATA_SOURC,LOC_METHOD,ORIG_ID,SLIDE_NAME,DATE,LENGTH_ft,WIDTH_ft,DEPTH_ft,SLOPE,TYPE_MOVE,MOVE_CLASS,CONTR_FACT,TYPE_MTRL,AREA_ft2,VOLUME_ft3,DEEP_SHAL,DAMAGES,LOSSES,COMMENTS,Annual_Cos,Repair_Cos
955971.480971127748489,1429607.035761147737503,ODOT2011,LS_22,Oregon Department of Transportation, ,SL002-0043-99LW1, ,8/25/2008,0,0,0,0, ,Fill Failure, , ,0,0, ,"Road Impact:LS leaves 1-way traf;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:43.99;Frequency:every 5 yrs or less;",0,0
956186.729002624750137,1429839.249671921133995,ODOT2011,LS_23,Oregon Department of Transportation, ,SL002-0044-05LW1, ,8/25/2008,0,0,0,0, ,Fill Failure, , ,0,0, ,"Road Impact:LS leaves 1-way traf;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:44.05;Frequency:every 5 yrs or less;",0,0
958771.236548557877541,1431908.584973752498627,ODOT2011,LS_24,Oregon Department of Transportation, ,SL002-0044-69LW1, ,8/13/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:1;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:44.77;Frequency:every 1 to 2 yrs;",636.010009765625,126809
972728.496062994003296,1441330.91174541413784,ODOT2011,LS_25,Oregon Department of Transportation, ,SL002-0048-00BB1,Farley Slide,8/29/2007,0,0,0,0, ,Landslide, , ,0,0, ,"Road Impact:LS leaves 1-way traf;Lanes Affected:3;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:48;Frequency:every 1 to 2 yrs;",8575.2900390625,4201770
973458.966863512992859,1441410.338582679629326,ODOT2011,LS_26,Oregon Department of Transportation, ,SL002-0048-14LW1, ,8/25/2008,0,0,0,0, ,Fill Failure, , ,0,0, ,"Road Impact:LS leaves 2-way traf;Lanes Affected:1;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:48.14;Frequency:every 5 yrs or less;",0,0
975268.887467190623283,1441597.939304456114769,ODOT2011,LS_27,Oregon Department of Transportation, ,SL002-0048-48LW1, ,8/25/2008,0,0,0,0, ,Fill Failure, , ,0,0, ,"Road Impact:LS leaves 1-way traf;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:48.48;Frequency:every 5 yrs or less;",0,0
978672.60728345811367,1441355.304133862257004,ODOT2011,LS_28,Oregon Department of Transportation, ,SL002-0049-14BB1,Fountain Slide,8/13/2008,0,0,0,0, ,Landslide, , ,0,0, ,"Road Impact:LS close >60mi det;Lanes Affected:4;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:49.38;Frequency:every 5 yrs or less;",0,0
981726.089238852262497,1440297.385498687624931,ODOT2011,LS_29,Oregon Department of Transportation, ,SL002-0049-76RE1, ,8/25/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF contain in ditch;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:49.76;Frequency:every yr;",251.080001831055,303703
984218.631233602762222,1439488.181430444121361,ODOT2011,LS_30,Oregon Department of Transportation, ,SL002-0050-26RE1, ,8/26/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF contain in ditch;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:50.26;Frequency:every yr;",479.649993896484,614945
994682.196850389242172,1439401.143044620752335,ODOT2011,LS_31,Oregon Department of Transportation, ,SL002-0052-27RE1, ,9/30/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF contain in ditch;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:52.27;Frequency:every 5 yrs or less;site has bin wall and fence, no rocks on road",0,0
998450.096784770488739,1438713.450459316372871,ODOT2011,LS_32,Oregon Department of Transportation, ,SL002-0053-02RE1, ,9/30/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF contain in ditch;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:53.02;Frequency:every 5 yrs or less;original RHRS fatality site",0,0
1007293.95833332836628,1437691.461286082863808,ODOT2011,LS_33,Oregon Department of Transportation, ,SL002-0054-77RE1, ,9/30/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:1;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:54.77;Frequency:every 5 yrs or less;",0,137662
1009525.924868762493134,1439429.118110239505768,ODOT2011,LS_34,Oregon Department of Transportation, ,SL002-0055-32RE1, ,9/30/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:55.32;Frequency:1 to 2 times a yr;western half of long cut, observed rocks on road",157.824996948242,294308
1010210.262467190623283,1439799.662073493003845,ODOT2011,LS_35,Oregon Department of Transportation, ,SL002-0055-47RE1, ,9/30/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF onto shoulder;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:55.47;Frequency:1 to 2 times a yr;",157.824996948242,78530.203125
1020626.91732282936573,1441782.655839890241623,ODOT2011,LS_36,Oregon Department of Transportation, ,SL002-0057-48RE1, ,9/4/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF onto shoulder;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:57.48;Frequency:every 5 yrs or less;",251.080001831055,112461
1027028.621062994003296,1443410.250984251499176,ODOT2011,LS_37,Oregon Department of Transportation, ,SL002-0058-78RE1, ,9/5/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:58.78;Frequency:2 times a yr;",432.149993896484,3048680
1035015.42585301399231,1443728.865485563874245,ODOT2011,LS_38,Oregon Department of Transportation, ,SL002-0060-30RE1, ,9/4/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.3;Frequency:every 1 to 2 yrs;",367.190002441406,148086
1035408.05511811375618,1443834.030839890241623,ODOT2011,LS_39,Oregon Department of Transportation, ,SL002-0060-38RE1, ,9/4/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.38;Frequency:every 1 to 2 yrs;",240.559997558594,1168700
1036506.60728345811367,1444284.541010499000549,ODOT2011,LS_40,Oregon Department of Transportation, ,SL002-0060-48LW1, ,9/5/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF contain in ditch;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.48;Frequency:every yr;",0,0
1035931.670931756496429,1444009.091535434126854,ODOT2011,LS_41,Oregon Department of Transportation, ,SL002-0060-48RE1, ,9/4/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF contain in ditch;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.48;Frequency:every yr;",240.559997558594,108998
1036031.352034121751785,1444129.758858263492584,ODOT2011,LS_42,Oregon Department of Transportation, ,SL002-0060-58LW1, ,9/5/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF onto shoulder;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.58;Frequency:every yr;",0,0
1036643.88976377248764,1444218.554133862257004,ODOT2011,LS_43,Oregon Department of Transportation, ,SL002-0060-63RE1, ,9/4/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF contain in ditch;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.63;Frequency:every yr;",240.559997558594,173132
1039160.685695543885231,1444277.559711292386055,ODOT2011,LS_44,Oregon Department of Transportation, ,SL002-0061-11RE1, ,9/5/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF contain in ditch;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.11;Frequency:every 5 yrs or less;site failed 2005-06, mitigated w/ cut and  hor drains",0,0
1679692.361548557877541,1534918.5501968562603,ODOT2011,LS_45,Oregon Department of Transportation, ,SL002-0198-03RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF no ditch enter rd;Lanes Affected:2; Other Damage:Injury", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:198.03;Frequency:5 times or more a yr;",10914.400390625,0
1681009.881233602762222,1535645.423556432127953,ODOT2011,LS_46,Oregon Department of Transportation, ,SL002-0198-31RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Injury", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:198.31;Frequency:5 times or more a yr;",10038,410484
1686424.531167984008789,1538326.611220479011536,ODOT2011,LS_47,Oregon Department of Transportation, ,SL002-0199-46RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:199.46;Frequency:2 to 3 times a yr;",2384,273977
1688411.552821516990662,1539324.858923882246017,ODOT2011,LS_48,Oregon Department of Transportation, ,SL002-0199-88RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:199.88;Frequency:2 to 3 times a yr;",1192,517185
1690347.864829391241074,1540647.583661422133446,ODOT2011,LS_49,Oregon Department of Transportation, ,SL002-0200-33RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:200.33;Frequency:5 times or more a yr;gps on opposite side",4157.2001953125,205431
1693380.822506561875343,1543469.929133862257004,ODOT2011,LS_50,Oregon Department of Transportation, ,SL002-0201-11RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Property Damage", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:201.11;Frequency:5 times or more a yr;gps on opposite side of hwy",10038,790299
1695548.563320204615593,1546013.855314955115318,ODOT2011,LS_51,Oregon Department of Transportation, ,SL002-0201-74RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Injury", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:201.74;Frequency:5 times or more a yr;gps on opposite side of hwy",6205.3798828125,0
1696729.984580054879189,1548278.742454066872597,ODOT2011,LS_52,Oregon Department of Transportation, ,SL002-0202-22RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Injury", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:202.22;Frequency:5 times or more a yr;",7004.7001953125,3363410
1698272.270013123750687,1551193.31496062874794,ODOT2011,LS_53,Oregon Department of Transportation, ,SL002-0202-85RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Injury", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:202.85;Frequency:5 times or more a yr;",12088.2001953125,434663
1202435.119422569870949,1142479.382545933127403,ODOT2011,LS_54,Oregon Department of Transportation, ,SL004-0069-92LN1, ,1/4/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF onto shoulder;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:69.92;Frequency:2 to 3 times a yr;",0,174007
1202390.661417320370674,1142488.204396322369576,ODOT2011,LS_55,Oregon Department of Transportation, ,SL004-0069-92RS1, ,1/4/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF onto shoulder;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:69.92;Frequency:2 to 3 times a yr;",0,228169
1201782.734580054879189,1140269.578740164637566,ODOT2011,LS_56,Oregon Department of Transportation, ,SL004-0070-38RS1, ,1/4/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF onto shoulder;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:70.38;Frequency:2 to 3 times a yr;old road above cut",0,258335
1201980.125,1133936.123687669634819,ODOT2011,LS_57,Oregon Department of Transportation, ,SL004-0071-61LN1, ,1/4/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:1;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:71.61;Frequency:5 times or more a yr;mostly small columnar basalt but blocky on southern end",0,266141
1201969.630249351263046,1133314.885170608758926,ODOT2011,LS_58,Oregon Department of Transportation, ,SL004-0071-73RS1, ,1/4/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:1;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:71.73;Frequency:2 to 3 times a yr;old road above cut",0,116635
1201659.431758522987366,1131235.327427819371223,ODOT2011,LS_59,Oregon Department of Transportation, ,SL004-0072-13LN1, ,1/4/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:3;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:72.13;Frequency:5 times or more a yr;",0,156092
1201513.44914698600769,1130661.624671921133995,ODOT2011,LS_60,Oregon Department of Transportation, ,SL004-0072-24RS1, ,1/4/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:3;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:72.24;Frequency:5 times or more a yr;",0,33939.3984375
1201251.936023622751236,1128329.840879261493683,ODOT2011,LS_61,Oregon Department of Transportation, ,SL004-0072-68LN1, ,1/5/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF onto shoulder;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:72.68;Frequency:every yr;",0,194006
1201011.774606302380562,1127712.521653547883034,ODOT2011,LS_62,Oregon Department of Transportation, ,SL004-0072-81RS1, ,1/5/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF onto shoulder;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:72.81;Frequency:every yr;",0,74250.1015625
1200816.576115489006042,1127042.874015748500824,ODOT2011,LS_63,Oregon Department of Transportation, ,SL004-0072-94LN1, ,1/5/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:3;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:72.94;Frequency:5 times or more a yr;",0,724556
1196423.197506561875343,1110538.348097115755081,ODOT2011,LS_64,Oregon Department of Transportation, ,SL004-0076-37LN1, ,1/5/2006,0,0,0,0, ,Landslide, , ,0,0, ,"Road Impact:LS leaves 2-way traf;Lanes Affected:1;", ," Hwy Name:Dalles-California; Hwy Number:4;Mile Post:76.37;Frequency:5 yrs or less;slide started1963 due to small cut made in slope,sliding and large cracks past top of hill and past our ROW, hwy moved a bitot the west and counterbalance put in at a later",0,0
1190176.95833332836628,1101183.164041996002197,ODOT2011,LS_65,Oregon Department of Transportation, ,SL004-0078-56BB1, ,1/5/2006,0,0,0,0, ,Fill Failure, , ,0,0, ,"Road Impact:LS leaves 2-way traf;Lanes Affected:3;Other Impact:Cattle Pass, dip in road;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:78.56;Frequency:every 5 yrs or less;no maintenance required yet but getting worse last couple years (2004, 2005); sight distance estimated by driving",0,0
1186169.579396322369576,1097405.195538058876991,ODOT2011,LS_66,Oregon Department of Transportation, ,SL004-0079-99LN1, ,1/5/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:1;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:79.99;Frequency:5 times or more a yr;",0,76129.296875
1185441.548884510993958,1097833.71325458586216,ODOT2011,LS_67,Oregon Department of Transportation, ,SL004-0080-15LN1, ,1/5/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF contain in ditch;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:80.15;Frequency:1 to 2 times a yr;",0,80072.703125
1185422.195866137742996,1097903.002952754497528,ODOT2011,LS_68,Oregon Department of Transportation, ,SL004-0080-16RS1, ,1/5/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF contain in ditch;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:80.16;Frequency:1 to 2 times a yr;",0,152050
1184238.118110239505768,1098481.325131237506866,ODOT2011,LS_69,Oregon Department of Transportation, ,SL004-0080-41RS1, ,1/5/2006,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF contain in ditch;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:80.41;Frequency:1 to 2 times a yr;",0,45519.6015625
946923.544947504997253,339163.795931756496429,ODOT2011,LS_70,Oregon Department of Transportation, ,SL004-0241-43RS1, ,11/7/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:1;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:241.63;Frequency:every yr;mitigated, no new history needed",0,0
946692.825131237506866,338171.051509186625481,ODOT2011,LS_71,Oregon Department of Transportation, ,SL004-0241-62RS1, ,11/7/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:1;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:241.62;Frequency:every yr;mitigated, no new history needed",0,0
946199.500984251499176,337378.582349076867104,ODOT2011,LS_72,Oregon Department of Transportation, ,SL004-0241-80RS1, ,11/7/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:1;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:241.8;Frequency:every yr;mitigated, no new history needed",0,0
945418.472769021987915,336915.561679795384407,ODOT2011,LS_73,Oregon Department of Transportation, ,SL004-0241-98RS1, ,11/7/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:241.98;Frequency:every yr;mitigated, no new history needed",0,0
943555.997703418135643,336705.43503937125206,ODOT2011,LS_74,Oregon Department of Transportation, ,SL004-0242-34RS1, ,10/3/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:242.34;Frequency:every yr;mitigated, no new history needed",0,0
