UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS_x,maxdewpti,maxhumidity,maxtempi,maxwspdi,meandewpti,meantempi,meanwdird,meanwindspdi,mindewpti,minhumidity,mintempi,minwspdi,precipi,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,G_ROCK_TYP,nlcd_2006_,Slope
LS_148,-122.5323012,44.39599336,1/23/06 0:00,Landslide,37,87,42,6,35,40,16,1,34,81,37,0,0,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,52,17.74641
LS_149,-122.5321356,44.39546151,1/23/06 0:00,Landslide,37,87,42,6,35,40,16,1,34,81,37,0,0,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,41,19.73032
LS_150,-122.5303318,44.39428168,1/23/06 0:00,Fill Failure,37,87,42,6,35,40,16,1,34,81,37,0,0,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,42,20.71012
LS_151,-122.4347767,44.40008411,1/23/06 0:00,Landslide,37,87,42,6,35,40,16,1,34,81,37,0,0,Qtl,Quaternary lower terrace,sediments,Quaternary,Quaternary surficial deposits,Terrace deposits,Linn Gravels,mixed grained sediments,43,11.85031
LS_152,-122.4323075,44.39999331,1/23/06 0:00,Landslide,37,87,42,6,35,40,16,1,34,81,37,0,0,Qtl,Quaternary lower terrace,sediments,Quaternary,Quaternary surficial deposits,Terrace deposits,Linn Gravels,mixed grained sediments,71,15.93811
LS_153,-122.4207196,44.3985859,1/23/06 0:00,Fill Failure,37,87,42,6,35,40,16,1,34,81,37,0,0,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mafic composition lithologies,52,15.37426
LS_154,-122.4196222,44.39881028,1/23/06 0:00,Fill Failure,37,87,42,6,35,40,16,1,34,81,37,0,0,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mafic composition lithologies,43,18.13686
LS_155,-122.418472,44.39852029,1/23/06 0:00,Fill Failure,37,87,42,6,35,40,16,1,34,81,37,0,0,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mafic composition lithologies,41,23.5814
LS_156,-122.4096861,44.39432367,2/13/06 0:00,Fill Failure,46,93,55,14,38,47,250,2,27,49,39,0,0.01,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mafic composition lithologies,42,17.82397
LS_157,-122.4077883,44.39403946,2/13/06 0:00,Fill Failure,46,93,55,14,38,47,250,2,27,49,39,0,0.01,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mafic composition lithologies,82,24.85563
LS_158,-122.4064873,44.39452386,2/13/06 0:00,Fill Failure,46,93,55,14,38,47,250,2,27,49,39,0,0.01,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mafic composition lithologies,82,7.97351
LS_159,-122.4004821,44.396174,2/13/06 0:00,Fill Failure,46,93,55,14,38,47,250,2,27,49,39,0,0.01,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mafic composition lithologies,82,17.1469
LS_161,-122.3849671,44.40338254,2/13/06 0:00,Fill Failure,46,93,55,14,38,47,250,2,27,49,39,0,0.01,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,23,6.0883
LS_162,-122.3817341,44.40392695,2/13/06 0:00,Fill Failure,46,93,55,14,38,47,250,2,27,49,39,0,0.01,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,71,11.20455
LS_163,-122.3816666,44.40387183,2/13/06 0:00,Fill Failure,46,93,55,14,38,47,250,2,27,49,39,0,0.01,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,71,8.66382
LS_164,-122.3758182,44.40406682,2/13/06 0:00,Fill Failure,46,93,55,14,38,47,250,2,27,49,39,0,0.01,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,21,12.62991
LS_168,-122.3239645,44.40276723,1/16/08 0:00,Fill Failure,32,93,41,13,27,34,36,2,25,61,28,0,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,ashflow tuff,90,15.45273
LS_169,-122.310382,44.40464606,1/16/08 0:00,Fill Failure,32,93,41,13,27,34,36,2,25,61,28,0,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,ashflow tuff,52,5.01194
LS_170,-122.3054087,44.40557844,1/16/08 0:00,Fill Failure,32,93,41,13,27,34,36,2,25,61,28,0,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,41,3.81238
LS_171,-122.2746154,44.40217266,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Dike,Dike,intrusive rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,90,11.56955
LS_174,-122.2720463,44.40252536,10/1/08 0:00,Fill Failure,57,94,77,13,49,60,322,2,39,47,42,0,0,Dike,Dike,intrusive rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,42,11.4677
LS_176,-122.2691836,44.402531,10/1/08 0:00,Fill Failure,57,94,77,13,49,60,322,2,39,47,42,0,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,ashflow tuff,42,20.58648
LS_179,-122.2641624,44.4000604,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,ashflow tuff,42,21.76031
LS_180,-122.2635743,44.40007021,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,ashflow tuff,42,23.33146
LS_181,-122.2618213,44.39951985,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Tib1,Intrusive basalt and andesite intrusions,intrusive rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,42,21.35067
LS_182,-122.2609966,44.39825578,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Tib1,Intrusive basalt and andesite intrusions,intrusive rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,52,15.88146
LS_183,-122.2579758,44.39808507,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,21,18.02871
LS_184,-122.2572183,44.39777346,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,43,16.15172
LS_185,-122.2567963,44.39752369,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,82,22.5023
LS_186,-122.254559,44.39722248,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,43,19.74879
LS_187,-122.253561,44.39695173,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,41,16.42178
LS_188,-122.252739,44.39668825,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,81,17.52073
LS_189,-122.2520724,44.39640946,10/1/08 0:00,Landslide,57,94,77,13,49,60,322,2,39,47,42,0,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,52,17.05308
LS_190,-122.2306059,44.40180707,5/6/08 0:00,Landslide,48,87,64,20,44,55,302,10,36,54,46,0,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,ashflow tuff,41,14.81391
LS_191,-122.2233214,44.40641656,8/17/07 0:00,Landslide,52,77,78,15,47,64,206,6,43,32,50,0,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,ashflow tuff,41,24.5257
LS_192,-121.9256794,44.43215005,6/28/06 0:00,Landslide,52,74,88,8,45,68,142,4,41,22,53,0,0,Qyc,Younger cinder deposits,vent and pyroclastic rocks,Recent,Late High Cascade Volcanics,Cascade Platform Lavas,No data,mixed lithologies,42,15.88612
LS_209,-120.2891697,42.42334545,7/19/07 0:00,Fill Failure,43,76,73,15,36,57,166,6,30,20,41,0,0,Qal1,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,0,0.92602
LS_210,-120.2981078,41.99909578,7/20/07 0:00,Landslide,41,61,78,23,34,58,175,9,25,14,39,0,0,,,,,,,,,,0
LS_241,-121.5794436,45.4444589,9/17/07 0:00,Landslide,54,88,57,0,54,,-1,0,54,88,57,0,0,Taef,Andesite of East Fork,volcanic rocks,Miocene/Pliocene,Dalles Group,Deschutes Formation,No data,andesite,41,21.12344
LS_242,-121.5699865,45.41629136,9/18/07 0:00,Fill Failure,45,67,57,12,45,55,275,11,45,63,55,10,0,Taef,Andesite of East Fork,volcanic rocks,Miocene/Pliocene,Dalles Group,Deschutes Formation,No data,andesite,41,6.08933
LS_246,-121.5446645,45.60108632,9/25/07 0:00,Fill Failure,46,87,50,0,46,,-1,0,46,87,50,0,0,Af,Modern fill and construction material,sediments,Recent,Quaternary surficial deposits,Man-made fill deposits,no data,mixed grained sediments,41,18.14663
LS_247,-121.5125455,45.64730823,9/25/07 0:00,Fill Failure,46,87,50,0,46,,-1,0,46,87,50,0,0,Af,Modern fill and construction material,sediments,Recent,Quaternary surficial deposits,Man-made fill deposits,no data,mixed grained sediments,42,0
LS_248,-121.5107359,45.67551799,9/25/07 0:00,Fill Failure,46,87,50,0,46,,-1,0,46,87,50,0,0,Qmfs,"Missoula flood deposits, silts and sands",sediments,Pleistocene,Quaternary surficial deposits,Missoula Flood deposits,no data,fine grained sediments,41,17.50195
LS_250,-121.5049922,45.69561183,9/25/07 0:00,Fill Failure,46,87,50,0,46,,-1,0,46,87,50,0,0,Af,Modern fill and construction material,sediments,Recent,Quaternary surficial deposits,Man-made fill deposits,no data,mixed grained sediments,41,27.39411
LS_251,-121.5017486,45.7056613,9/25/07 0:00,Fill Failure,47,74,75,24,42,60,290,7,35,35,44,0,0,Tgsb,Member Of Sentinel Bluffs,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Member Of Sentinel Bluffs,mixed lithologies,42,16.99622
LS_253,-121.5017034,45.70529257,9/25/07 0:00,Fill Failure,47,74,75,24,42,60,290,7,35,35,44,0,0,Tgsb,Member Of Sentinel Bluffs,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Member Of Sentinel Bluffs,mixed lithologies,42,22.93167
LS_257,-123.3791709,45.00697292,7/25/06 0:00,Landslide,57,81,88,15,53,72,12,7,46,28,57,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,82,7.42183
LS_258,-123.1120136,44.93149531,6/14/06 0:00,Landslide,54,94,64,14,51,60,200,9,49,62,55,4,0.02,Tms,Marine sedimentary rocks,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Scotts Mills Formation,No data,mixed lithologies,90,5.29394
LS_259,-123.0907896,44.93117309,6/14/06 0:00,Landslide,54,94,64,14,51,60,200,9,49,62,55,4,0.02,Tms,Marine sedimentary rocks,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Scotts Mills Formation,No data,mixed lithologies,82,5.6548
LS_260,-123.762859,45.08936345,7/25/06 0:00,Landslide,58,83,90,14,53,74,310,5,42,26,59,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,11,12.85726
LS_261,-119.0215324,45.8852305,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,52,9.5263
LS_262,-118.994522,45.89272278,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,82,10.93207
LS_263,-118.9883347,45.89414798,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,90,14.07455
LS_264,-118.9824957,45.89109825,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,13.32751
LS_265,-118.9782809,45.8894622,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,22.18729
LS_266,-118.9758602,45.889413,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,20.02029
LS_267,-118.9729832,45.89020702,10/17/07 0:00,Fill Failure,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,15.20693
LS_268,-118.9723275,45.89015559,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,16.36198
LS_269,-118.971901,45.89015282,10/17/07 0:00,Fill Failure,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,12.79685
LS_270,-118.9714869,45.89006558,10/17/07 0:00,Fill Failure,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,15.01169
LS_271,-118.9698961,45.88939155,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,19.47228
LS_272,-118.9697974,45.8857742,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Tfsg,Basalt of Sentinel Gap,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,11,24.10137
LS_273,-118.9671448,45.88453188,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Tfsg,Basalt of Sentinel Gap,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,11,19.10388
LS_275,-118.9662453,45.88190079,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,19.31673
LS_276,-118.9664111,45.88067684,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,18.82025
LS_277,-118.960257,45.87741126,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,10.2665
LS_278,-118.9292796,45.87087808,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,14.74778
LS_279,-118.928602,45.87071424,10/17/07 0:00,Fill Failure,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,42,7.50742
LS_280,-118.9274906,45.87014681,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,90,6.46744
LS_281,-118.9249335,45.86774853,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,4.93636
LS_282,-118.9225219,45.86605554,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,90,9.40232
LS_283,-118.9188718,45.86411495,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,90,7.71003
LS_284,-118.9178064,45.86288824,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,95,10.54416
LS_285,-118.9112689,45.86040893,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,90,7.31174
LS_287,-118.9049109,45.85503408,10/17/07 0:00,Fill Failure,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,8.26992
LS_288,-118.9020865,45.85292838,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,8.38161
LS_289,-118.889461,45.8412047,10/17/07 0:00,Landslide,40,100,56,24,37,46,213,8,34,47,36,0,T,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,11,11.03861
