UNIQUE_ID,Long,Lat,DATE,Northeast,North,Center,West,SouthEast,Northwest,East,South,SouthWest,maxdewpti,maxhumidity,maxpressurei,maxtempi,maxtempm,maxwspdi,mindewpti,mindewptm,minhumidity,minpressurei,mintempi,precipi,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,G_ROCK_TYP,GN_LITH_TY,nlcd_2011_,nlcd_2001_,nlcd_2006_
NLS_27,-123.6346146,45.21342833,11/4/10 0:00,,,,,,31.14815,,,,53,100,30.15,69,21,7,40,4,51,29.93,40,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,slope mudstone,sedimentary,42,42,42
NLS_28,-123.6821193,45.33873694,10/4/05 0:00,,,,,,39.67804,,,,47,93,30.33,61,16,7,42,6,51,30.18,47,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,43,43,43
NLS_29,-123.6668789,45.34319732,10/4/05 0:00,,,,,,32.15603,,,,47,93,30.33,61,16,7,42,6,51,30.18,47,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,42,42,42
NLS_30,-123.9356064,45.27084967,8/9/06 0:00,,,,,,29.48738,,,,61,78,30.17,82,28,15,55,13,42,30.05,59,T,Qls,Landslide deposits,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,mixed grained sediments,surficial sediments,42,42,42
NLS_31,-123.9485308,45.382114,10/4/05 0:00,,,,,,39.86969,,,,47,93,30.33,61,16,7,42,6,51,30.18,47,0,Qls,Landslide deposits,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,mixed grained sediments,surficial sediments,43,43,43
NLS_32,-123.8550996,45.56240501,12/5/05 0:00,,,,,,35.7822,,,,34,100,30.57,37,3,6,31,-1,82,30.46,33,0,Tbl,"Tillamook Volcanics, lower porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,71,42,42
NLS_33,-123.8948199,45.59159139,12/5/05 0:00,,,,,,11.23378,,,,34,100,30.57,37,3,6,31,-1,82,30.46,33,0,Tn,Nestucca Formation,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,slope mudstone,sedimentary,43,43,43
NLS_34,-123.6491993,45.46096572,8/9/06 0:00,,,,,,40.23743,,,,61,78,30.17,82,28,15,55,13,42,30.05,59,T,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,43,43,43
NLS_35,-123.5928789,45.53607597,8/9/06 0:00,,,,,,36.39852,,,,61,78,30.17,82,28,15,55,13,42,30.05,59,T,Tidb,Diabase,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,basalt,plutonic,42,42,42
NLS_36,-123.5570363,45.5980826,7/1/08 0:00,,,,,,20.58125,,,,57,88,30.08,68,20,9,52,11,64,30.01,55,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,52,42,42
NLS_37,-123.5321728,45.59630386,7/1/08 0:00,,,,,,19.59532,,,,61,96,30.05,83,28,8,48,9,45,29.9,51,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,42,42,42
NLS_38,-123.5352232,45.54486784,8/9/06 0:00,,,,,,40.01842,,,,61,78,30.17,82,28,15,55,13,42,30.05,59,T,Thpb,Basalt of Hembre Ridge,volcanic rocks,Eocene,Hembre Ridge-Three Rivers Group,No data,pillow lavas,volcanic,42,42,42
NLS_39,-123.8479784,45.5884937,12/5/05 0:00,,,,,,38.49499,,,,34,100,30.57,37,3,6,31,-1,82,30.46,33,0,Tbl,"Tillamook Volcanics, lower porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,43,43,43
NLS_40,-123.6936741,45.73515772,5/18/05 0:00,,,,,,21.60684,,,,55,100,29.76,65,18,26,47,8,67,29.43,49,0.53,Tbu,"Tillamook Volcanics, Upper porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,43,43,43
NLS_41,-123.7155614,45.7341548,5/18/05 0:00,,,,,,17.63775,,,,55,100,29.76,65,18,26,47,8,67,29.43,49,0.53,Tbu,"Tillamook Volcanics, Upper porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,42,42,42
NLS_42,-123.7412106,45.72819117,5/18/05 0:00,,,,,,42.08708,,,,55,100,29.76,65,18,26,47,8,67,29.43,49,0.53,Tbu,"Tillamook Volcanics, Upper porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,43,43,43
NLS_43,-123.7605594,45.72320605,5/18/05 0:00,,,,,,29.95829,,,,55,100,29.76,65,18,26,47,8,67,29.43,49,0.53,Tbu,"Tillamook Volcanics, Upper porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,52,41,41
NLS_44,-123.6728338,45.75513345,7/9/08 0:00,,,,,,23.83421,,,,59,100,30.08,71,22,21,48,9,53,30.04,50,0,Ttv,Tillamook Volcanics,volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,43,43,43
NLS_45,-123.6981448,45.75323256,5/18/05 0:00,,,,,,34.24564,,,,55,100,29.76,65,18,26,47,8,67,29.43,49,0.53,Ttv,Tillamook Volcanics,volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,42,42,42
NLS_46,-123.7180599,45.74783504,5/18/05 0:00,,,,,,39.59713,,,,55,100,29.76,65,18,26,47,8,67,29.43,49,0.53,Tbu,"Tillamook Volcanics, Upper porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,43,43,43
NLS_47,-123.6214608,45.7451906,7/9/08 0:00,,,,,,31.25655,,,,59,100,30.08,71,22,21,48,9,53,30.04,50,0,Tbu,"Tillamook Volcanics, Upper porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,43,43,43
NLS_48,-123.8184227,45.70540522,5/18/05 0:00,,,,,,31.4594,,,,55,100,29.76,65,18,26,47,8,67,29.43,49,0.53,Tsf,"Tillamook Volcanics, subaerial dacite, rhyodacite, rhyolite",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,felsic composition lithologies,volcanic,43,43,43
NLS_49,-123.6101199,45.78107496,7/9/08 0:00,,,,,,34.53336,,,,59,100,30.08,71,22,21,48,9,53,30.04,50,0,Ttv,Tillamook Volcanics,volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,52,41,71
NLS_50,-123.4951387,45.65953058,7/1/08 0:00,,,,,,29.10554,,,,61,96,30.05,83,28,8,48,9,45,29.9,51,0,Tbl,"Tillamook Volcanics, lower porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,42,42,42
NLS_51,-123.5030182,45.64477172,7/1/08 0:00,,,,,,35.61746,,,,61,96,30.05,83,28,8,48,9,45,29.9,51,0,Tbl,"Tillamook Volcanics, lower porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,43,43,43
NLS_52,-123.645491,45.69885457,8/9/06 0:00,,,,,,40.08792,,,,61,78,30.17,82,28,15,55,13,42,30.05,59,T,Tsf,"Tillamook Volcanics, subaerial dacite, rhyodacite, rhyolite",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,felsic composition lithologies,volcanic,21,21,21
NLS_53,-123.6191811,45.70319757,8/9/06 0:00,,,,,,43.71919,,,,61,78,30.17,82,28,15,55,13,42,30.05,59,T,Tsf,"Tillamook Volcanics, subaerial dacite, rhyodacite, rhyolite",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,felsic composition lithologies,volcanic,42,42,42
NLS_54,-123.6795413,45.71977147,5/18/05 0:00,,,,,,24.85843,,,,55,100,29.76,65,18,26,47,8,67,29.43,49,0.53,Tbu,"Tillamook Volcanics, Upper porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,42,42,42
NLS_55,-123.5723666,45.84231532,7/9/08 0:00,,,,,,34.93804,,,,57,86,30.03,90,32,18,41,5,27,29.92,55,0,Tcm,Cole Mountain basalt,invasive extrusive rocks,Eocene,Goble Group,No data,basalt,plutonic,43,43,43
NLS_56,-123.5901782,45.82931373,7/9/08 0:00,,,,,,23.15413,,,,59,100,30.08,71,22,21,48,9,53,30.04,50,0,Th,Hamlet formation,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Hamlet Formation,slope mudstone,sedimentary,52,52,52
NLS_57,-123.8658174,45.83467362,4/6/05 0:00,,,,,,74.57232,,,,48,93,30.03,64,18,17,28,-2,27,29.73,44,0,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,42,42,42
NLS_58,-123.9060762,45.83068167,4/6/05 0:00,,,,,,30.00152,,,,48,93,30.03,64,18,17,28,-2,27,29.73,44,0,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,42,42,42
NLS_59,-123.9140657,45.81912652,4/25/05 0:00,,,,,,37.25656,,,,52,100,30.14,56,13,8,48,9,77,30.05,49,0.11,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,43,43,43
NLS_60,-123.9017255,45.81584532,4/25/05 0:00,,,,,,17.74416,,,,52,100,30.14,56,13,8,48,9,77,30.05,49,0.11,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,21,21,21
NLS_61,-123.8538528,45.81803203,4/25/05 0:00,,,,,,6.08663,,,,52,100,30.14,56,13,8,48,9,77,30.05,49,0.11,Taa,Astoria Formation,marine sedimentary rocks,Miocene,Astoria Group,Astoria Formation,shelf sandstone,sedimentary,52,43,31
NLS_62,-123.8247032,45.8140089,4/25/05 0:00,,,,,,9.17817,,,,52,100,30.14,56,13,8,48,9,77,30.05,49,0.11,Tsc2,Smuggler Cove formation,marine sedimentary rocks,Oligocene/Miocene,Yaquina-Pittsburg Bluff Group,Smuggler Cove Formation,tuffaceous sedimentary rocks,sedimentary,42,42,42
NLS_63,-123.8003491,45.77264088,4/26/05 0:00,,,,,,21.63945,,,,57,100,30.13,71,22,10,41,5,57,29.98,41,0,Tsc1,"Smuggler Cove formation, lower member",marine sedimentary rocks,Oligocene/Miocene,Yaquina-Pittsburg Bluff Group,Smuggler Cove Formation,tuffaceous sedimentary rocks,sedimentary,42,42,42
NLS_64,-123.8760441,45.67423561,5/18/05 0:00,,,,,,0,,,,55,100,29.76,65,18,26,47,8,67,29.43,49,0.53,Tn,Nestucca Formation,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,slope mudstone,sedimentary,71,42,42
NLS_65,-123.4934831,45.78289673,7/15/08 0:00,,,,,,8.02353,,,,53,67,30.01,92,33,17,43,6,21,29.92,59,0,Ttv,Tillamook Volcanics,volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,52,42,71
NLS_66,-123.5203062,45.78746538,7/15/08 0:00,,,,,,21.04726,,,,53,67,30.01,92,33,17,43,6,21,29.92,59,0,Ttv,Tillamook Volcanics,volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,52,71,52
NLS_67,-123.5390528,45.7922375,7/9/08 0:00,,,,,,17.55204,,,,57,86,30.03,90,32,18,41,5,27,29.92,55,0,Ttv,Tillamook Volcanics,volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,42,42,42
NLS_68,-123.5476527,45.83446867,7/9/08 0:00,,,,,,49.60611,,,,57,86,30.03,90,32,18,41,5,27,29.92,55,0,Ttv,Tillamook Volcanics,volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,42,42,42
NLS_69,-123.7840148,45.93160885,4/5/05 0:00,,,,,,27.79214,,,,42,80,30.16,55,13,17,33,1,51,30.04,44,0.04,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,43,43,43
NLS_70,-123.7768635,45.93827772,4/5/05 0:00,,,,,,26.06049,,,,42,80,30.16,55,13,17,33,1,51,30.04,44,0.04,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,42,42,42
NLS_71,-123.7789473,45.92406781,4/5/05 0:00,,,,,,37.09307,,,,42,80,30.16,55,13,17,33,1,51,30.04,44,0.04,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,43,43,43
NLS_72,-123.8593469,45.97112891,4/4/05 0:00,,,,,,37.13497,,,,41,93,30.17,52,11,18,34,1,54,29.85,39,0.02,Tfsp,"Wanapum Basalt, Frenchman Springs Member pillow palagonite complexes",marine volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,basalt,volcanic,42,42,42
NLS_73,-123.7107773,45.92756627,9/8/10 0:00,,,,,,38.06942,,,,55,93,29.87,61,16,12,51,11,78,29.81,55,0.09,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,52,52,52
NLS_74,-123.7000481,45.92219819,9/8/10 0:00,,,,,,40.53497,,,,55,93,29.87,61,16,12,51,11,78,29.81,55,0.09,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,52,52,52
NLS_75,-123.703005,45.89219725,9/8/10 0:00,,,,,,11.50781,,,,55,93,29.87,61,16,12,51,11,78,29.81,55,0.09,Tscg,Smuggler Cove formation,marine sedimentary rocks,Oligocene/Miocene,Yaquina-Pittsburg Bluff Group,Smuggler Cove Formation,sandstone,sedimentary,52,42,71
NLS_76,-123.7475514,45.88127041,4/5/05 0:00,,,,,,48.62281,,,,42,80,30.16,55,13,17,33,1,51,30.04,44,0.04,Tsc2,Smuggler Cove formation,marine sedimentary rocks,Oligocene/Miocene,Yaquina-Pittsburg Bluff Group,Smuggler Cove Formation,tuffaceous sedimentary rocks,sedimentary,42,42,42
NLS_77,-123.7939769,45.87310396,4/5/05 0:00,,,,,,35.31727,,,,42,80,30.16,55,13,17,33,1,51,30.04,44,0.04,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,42,42,42
NLS_78,-123.8589747,45.86600658,4/5/05 0:00,,,,,,30.96282,,,,42,80,30.16,55,13,17,33,1,51,30.04,44,0.04,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,52,42,31
NLS_79,-123.5777622,46.10455657,9/7/10 0:00,,,,,,27.52846,,,,57,100,29.89,64,18,7,52,11,64,29.77,57,0.06,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,71,42,31
NLS_80,-123.4645945,45.93968956,8/24/10 0:00,,,,,,42.04446,,,,54,87,30.19,89,32,12,43,6,22,29.91,50,0,Ts,Sager Creek formation,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Sager Creek Formation,turbidite,sedimentary,41,41,41
NLS_81,-123.491968,45.9090793,11/2/10 0:00,,,,,,14.56974,,,,54,100,30.56,64,18,9,46,8,59,30.38,48,0,Th,Hamlet formation,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Hamlet Formation,slope mudstone,sedimentary,43,43,43
NLS_82,-123.5712258,45.90743973,11/2/10 0:00,,,,,,14.06851,,,,54,100,30.54,64,18,17,47,8,63,30.22,51,T,Ts,Sager Creek formation,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Sager Creek Formation,turbidite,sedimentary,52,52,52
NLS_83,-123.5448962,45.86971563,7/9/08 0:00,,,,,,7.01503,,,,57,86,30.03,90,32,18,41,5,27,29.92,55,0,Th,Hamlet formation,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Hamlet Formation,slope mudstone,sedimentary,42,71,52
NLS_84,-123.5359586,46.05066176,11/2/10 0:00,,,,,,31.79688,,,,54,100,30.56,64,18,9,46,8,59,30.38,48,0,Tgrp,Grande Ronde Basalt subaerial basalt flows,marine volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,42,42,42
NLS_85,-123.494842,46.09698889,9/7/10 0:00,,,,,,32.14845,,,,57,100,29.89,64,18,7,52,11,64,29.77,57,0.06,Tgr,Grande Ronde Basalt subaerial basalt flows,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,42,42,42
NLS_86,-123.4599766,46.08574191,8/23/10 0:00,,,,,,37.2434,,,,52,93,30.4,78,26,13,43,6,32,30.25,46,0,Tgr,Grande Ronde Basalt subaerial basalt flows,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,42,42,42
NLS_87,-123.5639996,46.14048803,9/7/10 0:00,,,,,,42.88001,,,,57,93,29.89,66,19,13,51,11,67,29.79,55,0.36,Tgr,Grande Ronde Basalt subaerial basalt flows,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,43,43,43
NLS_88,-123.5680405,46.15492768,9/7/10 0:00,,,,,,20.97939,,,,57,93,29.89,66,19,13,51,11,67,29.79,55,0.36,Tac2,"Astoria Formation, Cannon Beach member",marine sedimentary rocks,Miocene,Astoria Group,Astoria Formation,slope mudstone,sedimentary,42,42,42
NLS_89,-123.4867853,46.18733449,9/7/10 0:00,,,,,,16.02777,,,,57,100,29.89,64,18,7,52,11,64,29.77,57,0.06,Tg3,Gnat Creek formation,marine sedimentary rocks,Miocene,Whalecove-Gnat Creek Group,Gnat Creek Formation,slope mudstone,sedimentary,42,42,42
NLS_90,-123.5185162,46.1820818,9/7/10 0:00,,,,,,7.00837,,,,57,93,29.89,66,19,13,51,11,67,29.79,55,0.36,Tg3,Gnat Creek formation,marine sedimentary rocks,Miocene,Whalecove-Gnat Creek Group,Gnat Creek Formation,slope mudstone,sedimentary,43,43,43
NLS_91,-123.5192663,46.13032211,9/7/10 0:00,,,,,,8.89793,,,,57,100,29.89,64,18,7,52,11,64,29.77,57,0.06,Tfs,"Wanapum Basalt, Frenchman Springs Member subaerial basalt flows",volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,basalt,volcanic,52,42,71
NLS_92,-123.6939897,46.11480803,9/8/10 0:00,,,,,,17.63775,,,,55,93,29.87,61,16,12,51,11,78,29.81,55,0.09,Tawu,"Astoria Formation, Wickiup Mountain member, upper part",marine sedimentary rocks,Miocene,Astoria Group,Astoria Formation,shelf sandstone,sedimentary,43,43,43
