UNIQUE_ID,Long,Lat,DATE,Northeast,North,Center,West,SouthEast,Northwest,East,South,SouthWest,maxdewpti,maxhumidity,maxpressurei,maxtempi,maxwspdi,mindewpti,minhumidity,minpressurei,mintempi,precipi
LS_133,-123.8384537,45.27279619,8/9/06 0:00,,,,,,20.13242,,,,61,78,30.17,82,15,55,42,30.05,59,T
LS_134,-124.0568325,44.73933408,8/23/07 0:00,,,,26.71875,,,,,,59,100,30.02,66,22,50,77,29.94,50,0
LS_135,-124.0613965,44.698745,8/23/07 0:00,,,,8.25358,,,,,,59,100,30.02,66,22,50,77,29.94,50,0
LS_136,-124.0630212,44.69646272,8/23/07 0:00,,,,11.30903,,,,,,59,100,30.02,66,22,50,77,29.94,50,0
LS_139,-122.608609,44.41147073,1/19/06 0:00,,,,44.7248,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42
LS_142,-122.5673164,44.40211626,1/19/06 0:00,,,,37.30086,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42
LS_143,-122.5571518,44.40132338,1/19/06 0:00,,,,33.27682,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42
LS_144,-122.5566668,44.40135056,1/19/06 0:00,,,,28.24667,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42
LS_145,-122.5563109,44.40138276,1/19/06 0:00,,,,27.29243,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42
LS_146,-122.5554579,44.40142316,1/19/06 0:00,,,,28.86081,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42
LS_148,-122.5326713,44.39603086,1/23/06 0:00,,,,21.96024,,,,,,37,87,30.56,42,6,34,81,30.41,37,0
LS_149,-122.5324443,44.39550011,1/23/06 0:00,,,,25.8194,,,,,,37,87,30.56,42,6,34,81,30.41,37,0
LS_150,-122.5303887,44.39414844,1/23/06 0:00,,,,24.04032,,,,,,37,87,30.56,42,6,34,81,30.41,37,0
LS_151,-122.434768,44.39981981,1/23/06 0:00,,,,30.10634,,,,,,37,87,30.56,42,6,34,81,30.41,37,0
LS_152,-122.4324831,44.3997259,1/23/06 0:00,,,,32.57583,,,,,,37,87,30.56,42,6,34,81,30.41,37,0
LS_153,-122.4207138,44.3984097,1/23/06 0:00,,,,36.32924,,,,,,37,87,30.56,42,6,34,81,30.41,37,0
LS_154,-122.419615,44.39859003,1/23/06 0:00,,,,32.84983,,,,,,37,87,30.56,42,6,34,81,30.41,37,0
LS_155,-122.4187163,44.39847212,1/23/06 0:00,,,,39.25994,,,,,,37,87,30.56,42,6,34,81,30.41,37,0
LS_156,-122.4098661,44.39418845,2/13/06 0:00,,,,31.71855,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01
LS_157,-122.4077854,44.39395136,2/13/06 0:00,,,,41.11033,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01
LS_158,-122.4064144,44.39417248,2/13/06 0:00,,,,18.16434,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01
LS_159,-122.3998677,44.3961842,2/13/06 0:00,,,,25.19342,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01
LS_161,-122.385311,44.40452279,2/13/06 0:00,,,,27.13514,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01
LS_162,-122.3822037,44.40515329,2/13/06 0:00,,,,33.99067,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01
LS_163,-122.3810901,44.40507129,2/13/06 0:00,,,,29.54756,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01
LS_164,-122.3757933,44.40521314,2/13/06 0:00,,,,21.29152,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01
LS_168,-122.3239932,44.4036923,1/16/08 0:00,,,,25.11218,,,,,,32,93,30.64,41,13,25,61,30.54,28,0
LS_169,-122.3105731,44.4048634,1/16/08 0:00,,,,44.75232,,,,,,32,93,30.64,41,13,25,61,30.54,28,0
LS_170,-122.3053621,44.40606397,1/16/08 0:00,,,,33.31573,,,,,,32,93,30.64,41,13,25,61,30.54,28,0
LS_171,-122.2746313,44.40270128,10/1/08 0:00,,,,15.64961,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_174,-122.2722373,44.40274277,10/1/08 0:00,,,,39.81525,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_176,-122.2690046,44.40271005,10/1/08 0:00,,,,34.72658,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_179,-122.2641677,44.40023661,10/1/08 0:00,,,,43.3515,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_180,-122.2635822,44.40033452,10/1/08 0:00,,,,45.25109,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_181,-122.2612788,44.39988077,10/1/08 0:00,,,,35.82611,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_182,-122.2606398,44.39865792,10/1/08 0:00,,,,16.66867,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_183,-122.2579223,44.39835032,10/1/08 0:00,,,,26.3765,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_184,-122.2572275,44.39808182,10/1/08 0:00,,,,34.79692,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_185,-122.2566879,44.39801015,10/1/08 0:00,,,,32.89793,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_186,-122.2543852,44.39757772,10/1/08 0:00,,,,30.345,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_187,-122.2535676,44.39717199,10/1/08 0:00,,,,30.4599,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_188,-122.2528737,44.39708284,10/1/08 0:00,,,,37.20944,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_189,-122.2519587,44.3967197,10/1/08 0:00,,,,33.60642,,,,,,57,94,30.02,77,13,39,47,29.88,42,0
LS_190,-122.2312346,44.40228235,5/6/08 0:00,,,,29.01514,,,,,,48,87,30.13,64,20,36,54,30.08,46,0
LS_191,-122.223269,44.40672585,8/17/07 0:00,,,,27.8332,,,,,,52,77,30.07,78,15,43,32,29.98,50,0
LS_192,-121.925249,44.4321554,6/28/06 0:00,,,35.50814,,,,,,,52,74,29.99,88,8,41,22,29.94,53,0
LS_209,-120.2886945,42.42321238,7/19/07 0:00,,,,,,,,30.60151,,43,76,30.09,73,15,30,20,29.99,41,0
LS_210,-120.2798776,42.01069002,7/20/07 0:00,,,,,,,,18.39977,,41,61,30.03,78,23,25,14,29.98,39,0
LS_241,-121.5803888,45.44438958,9/17/07 0:00,,35.55968,,,,,,,,54,88,30.09,57,0,54,88,30.09,57,0
LS_242,-121.5706733,45.41622448,9/18/07 0:00,,34.55189,,,,,,,,45,67,30.12,57,12,45,63,30.08,55,0
LS_246,-121.5446546,45.60054133,9/25/07 0:00,,28.67756,,,,,,,,46,87,30.25,50,0,46,87,30.25,50,0
LS_247,-121.5102187,45.64757058,9/25/07 0:00,,21.81927,,,,,,,,46,87,30.25,50,0,46,87,30.25,50,0
LS_248,-121.5109993,45.67575796,9/25/07 0:00,,30.66776,,,,,,,,46,87,30.25,50,0,46,87,30.25,50,0
LS_250,-121.5053431,45.69591162,9/25/07 0:00,,21.96362,,,,,,,,46,87,30.25,50,0,46,87,30.25,50,0
LS_251,-121.5017486,45.7056613,9/25/07 0:00,,16.99622,,,,,,,,47,74,30.21,75,24,35,35,30.12,44,0
LS_253,-121.5019627,45.70529035,9/25/07 0:00,,43.81122,,,,,,,,47,74,30.21,75,24,35,35,30.12,44,0
LS_257,-123.3795332,45.00738821,7/25/06 0:00,,,,,,13.94305,,,,57,81,29.98,88,15,46,28,29.86,57,0
LS_258,-123.1128904,44.93202098,6/14/06 0:00,,,,,,9.28774,,,,54,94,30.1,64,14,49,62,30.07,55,0.02
LS_259,-123.0911279,44.9311049,6/14/06 0:00,,,,,,21.89788,,,,54,94,30.1,64,14,49,62,30.07,55,0.02
LS_260,-123.7628828,45.08978714,7/25/06 0:00,,,,,,27.31138,,,,58,83,30.01,90,14,42,26,29.89,59,0
LS_261,-119.0213684,45.88486508,10/17/07 0:00,,19.47228,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_262,-118.9945252,45.8926017,10/17/07 0:00,,14.07143,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_263,-118.9883395,45.89396637,10/17/07 0:00,,19.92325,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_264,-118.9829324,45.89098277,10/17/07 0:00,,32.05348,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_265,-118.9782841,45.88934112,10/17/07 0:00,,30.91188,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_266,-118.9756949,45.88910806,10/17/07 0:00,,29.5706,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_267,-118.9732513,45.88990771,10/17/07 0:00,,30.35877,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_268,-118.9725924,45.88997736,10/17/07 0:00,,29.65797,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_269,-118.9721659,45.88997459,10/17/07 0:00,,32.35883,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_270,-118.9714966,45.88970235,10/17/07 0:00,,36.84879,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_271,-118.9702429,45.88939606,10/17/07 0:00,,33.96125,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_272,-118.9700591,45.88571705,10/17/07 0:00,,42.57074,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_273,-118.9674081,45.88441419,10/17/07 0:00,,30.61787,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_275,-118.9665904,45.88196585,10/17/07 0:00,,22.25011,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_276,-118.9668526,45.8803798,10/17/07 0:00,,22.375,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_277,-118.9607852,45.87711538,10/17/07 0:00,,26.82778,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_278,-118.9297195,45.87064172,10/17/07 0:00,19.00917,,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_279,-118.9289486,45.87071887,10/17/07 0:00,12.00568,,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_280,-118.9277539,45.87002921,10/17/07 0:00,13.11904,,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_281,-118.9252851,45.86757156,10/17/07 0:00,32.33686,,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_282,-118.9229602,45.86587974,10/17/07 0:00,30.30167,,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_283,-118.9198366,45.863704,10/17/07 0:00,23.1107,,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_284,-118.9183346,45.86259255,10/17/07 0:00,25.50786,,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_285,-118.9112907,45.85962193,10/17/07 0:00,15.05249,,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_287,-118.9053559,45.85461619,10/17/07 0:00,30.57728,,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_288,-118.9026131,45.85269329,10/17/07 0:00,24.90243,,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_289,-118.8898126,45.84102783,10/17/07 0:00,29.65565,,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T
LS_290,-123.6086564,45.52858572,8/9/06 0:00,,,,,,24.09956,,,,61,78,30.17,82,15,55,42,30.05,59,T
LS_291,-123.6053532,45.53132231,8/9/06 0:00,,,,,,32.65249,,,,61,78,30.17,82,15,55,42,30.05,59,T
LS_293,-123.4538923,45.60695865,7/1/08 0:00,,,,,,35.28679,,,,61,96,30.05,83,8,48,45,29.9,51,0
LS_295,-123.4463196,45.60537836,7/1/08 0:00,,,,,,26.2852,,,,61,96,30.05,83,8,48,45,29.9,51,0
LS_297,-123.4437379,45.60495877,7/1/08 0:00,,,,,,51.66723,,,,61,96,30.05,83,8,48,45,29.9,51,0
LS_299,-123.4386377,45.60760875,7/1/08 0:00,,,,,,39.27166,,,,61,96,30.05,83,8,48,45,29.9,51,0
LS_301,-123.4358586,45.60821531,7/1/08 0:00,,,,,,44.81021,,,,61,96,30.05,83,8,48,45,29.9,51,0
LS_302,-123.4346137,45.60800452,7/1/08 0:00,,,,,,42.31639,,,,61,96,30.05,83,8,48,45,29.9,51,0
LS_303,-123.4277858,45.61008616,7/1/08 0:00,,,,,,22.95411,,,,61,96,30.05,83,8,48,45,29.9,51,0
LS_304,-123.4231824,45.61176298,7/1/08 0:00,,,,,,24.02352,,,,61,96,30.05,83,8,48,45,29.9,51,0
LS_306,-123.4159104,45.62087315,7/2/08 0:00,,,,,,48.56961,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_308,-123.4124321,45.62025697,7/2/08 0:00,,,,,,43.84799,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_309,-123.4096872,45.61980592,7/2/08 0:00,,,,,,41.59834,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_310,-123.4065863,45.62085767,7/2/08 0:00,,,,,,29.30939,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_312,-123.4052018,45.62068474,7/2/08 0:00,,,,,,23.02051,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_313,-123.4048339,45.62005323,7/2/08 0:00,,,,,,34.58245,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_314,-123.4034422,45.62028689,7/2/08 0:00,,,,,,36.42187,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_318,-123.3871827,45.61736131,7/2/08 0:00,,,,,,27.76373,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_320,-123.3861119,45.61748426,7/2/08 0:00,,,,,,37.38958,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_321,-123.3856464,45.61777854,7/2/08 0:00,,,,,,29.95829,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_322,-123.3848055,45.61856285,7/2/08 0:00,,,,,,31.48211,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_325,-123.3829685,45.61932997,7/2/08 0:00,,,,,,29.59946,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_326,-123.3825811,45.6200237,7/2/08 0:00,,,,,,29.24059,,,,65,87,29.94,86,8,52,37,29.82,55,T
LS_327,-123.380726,45.62046971,7/7/08 0:00,,,,,,34.5849,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_328,-123.3734175,45.62552363,7/7/08 0:00,,,,,,25.15834,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_329,-123.3720162,45.6255796,7/7/08 0:00,,,,,,20.48201,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_330,-123.3708592,45.62577507,7/7/08 0:00,,,,,,34.37442,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_331,-123.3696197,45.62632208,7/7/08 0:00,,,,,,22.55139,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_332,-123.3695069,45.62711366,7/7/08 0:00,,,,,,14.2081,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_333,-123.369168,45.62818307,7/7/08 0:00,,,,,,16.02777,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_334,-123.3646279,45.63211953,7/7/08 0:00,,,,,,23.82949,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_335,-123.362143,45.6313633,7/7/08 0:00,,,,,,17.4946,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_336,-123.3609665,45.63239262,7/7/08 0:00,,,,,,19.86019,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_337,-123.3604801,45.63278435,7/7/08 0:00,,,,,,17.51616,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_338,-123.3584327,45.63499362,7/7/08 0:00,,,,,,24.70562,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_339,-123.3564594,45.63684652,7/7/08 0:00,,,,,,28.68665,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_341,-123.3545289,45.64039742,7/7/08 0:00,,,,,,19.59532,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_342,-123.0242795,43.32835609,10/6/08 0:00,,,,23.97957,,,,,,54,100,30.12,79,9,45,30,30,52,0.01
LS_348,-123.0007012,43.33005808,9/25/08 0:00,,,,27.20694,,,,,,54,82,30.13,70,9,44,42,29.98,52,0
LS_350,-122.9938661,43.32448548,9/25/08 0:00,,,,34.20039,,,,,,54,82,30.13,70,9,44,42,29.98,52,0
LS_351,-122.9704132,43.31799216,9/25/08 0:00,,,,31.05111,,,,,,54,82,30.13,70,9,44,42,29.98,52,0
LS_352,-122.9682655,43.31540014,9/25/08 0:00,,,,28.81446,,,,,,54,82,30.13,70,9,44,42,29.98,52,0
LS_354,-122.9650691,43.31025864,9/25/08 0:00,,,,23.84008,,,,,,54,82,30.13,70,9,44,42,29.98,52,0
LS_355,-122.9620739,43.30870602,9/25/08 0:00,,,,24.03099,,,,,,54,82,30.13,70,9,44,42,29.98,52,0
LS_356,-122.9550105,43.30426323,9/25/08 0:00,,,,,,,,,29.23623,54,82,30.13,70,9,44,42,29.98,52,0
LS_358,-122.9529863,43.30262567,9/25/08 0:00,,,,,,,,,21.30488,54,82,30.13,70,9,44,42,29.98,52,0
LS_360,-122.9449644,43.29984984,9/24/08 0:00,,,,,,,,,34.95161,45,83,29.99,82,8,33,18,29.88,46,0
LS_362,-122.9431875,43.29990997,9/24/08 0:00,,,,,,,,,19.55061,45,83,29.99,82,8,33,18,29.88,46,0
LS_363,-122.9418862,43.30030639,9/24/08 0:00,,,,,,,,,12.03682,45,83,29.99,82,8,33,18,29.88,46,0
LS_366,-122.9378055,43.29996802,9/24/08 0:00,,,,,,,,,47.54456,45,83,29.99,82,8,33,18,29.88,46,0
LS_367,-122.9366095,43.29961842,9/24/08 0:00,,,,,,,,,31.41923,45,83,29.99,82,8,33,18,29.88,46,0
LS_368,-120.3288429,42.25342348,7/19/07 0:00,,,,,,,,18.84522,,43,76,30.09,73,15,30,20,29.99,41,0
LS_369,-120.3203627,42.2499469,7/19/07 0:00,,,,,,,,21.12207,,43,76,30.09,73,15,30,20,29.99,41,0
LS_370,-120.3203076,42.25018242,7/19/07 0:00,,,,,,,,26.70785,,43,76,30.09,73,15,30,20,29.99,41,0
LS_371,-120.3196827,42.25048551,7/19/07 0:00,,,,,,,,20.91652,,43,76,30.09,73,15,30,20,29.99,41,0
LS_372,-120.3093822,42.24337714,7/19/07 0:00,,,,,,,,19.90571,,43,76,30.09,73,15,30,20,29.99,41,0
LS_373,-120.308463,42.24212053,7/19/07 0:00,,,,,,,,21.02624,,43,76,30.09,73,15,30,20,29.99,41,0
LS_374,-120.2987119,42.23841043,7/19/07 0:00,,,,,,,,21.05449,,43,76,30.09,73,15,30,20,29.99,41,0
LS_375,-119.998774,42.18859034,7/18/07 0:00,,,,,,,,23.23897,,46,67,30.03,68,18,34,39,29.93,53,0.43
LS_376,-119.991719,42.18605281,7/18/07 0:00,,,,,,,,18.16603,,46,67,30.03,68,18,34,39,29.93,53,0.43
LS_377,-119.9851626,42.18332698,7/18/07 0:00,,,,,,,,37.28494,,46,67,30.03,68,18,34,39,29.93,53,0.43
LS_379,-119.9757363,42.18171875,7/18/07 0:00,,,,,,,,16.71349,,46,67,30.03,68,18,34,39,29.93,53,0.43
LS_384,-123.3524256,45.64093863,7/7/08 0:00,,,,,,28.02856,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_385,-123.3511844,45.64228439,7/7/08 0:00,,,,,,26.69919,,,,56,93,30.16,82,14,48,33,30.09,49,0
LS_386,-123.3488948,45.64356955,7/8/08 0:00,,,,,,11.58978,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_387,-123.3445023,45.64355422,7/8/08 0:00,,,,,,25.38433,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_388,-123.3412967,45.64690214,7/8/08 0:00,,,,,,31.6246,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_389,-123.3404115,45.64663037,7/8/08 0:00,,,,,,21.28614,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_390,-123.3373805,45.6464067,7/8/08 0:00,,,,,,13.06981,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_391,-123.334522,45.64809651,7/8/08 0:00,,,,,,17.02632,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_392,-123.3322831,45.6482288,7/8/08 0:00,,,,,,28.18713,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_393,-123.3086098,45.65243486,7/8/08 0:00,,,,,,24.67129,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_394,-123.308042,45.65344582,7/8/08 0:00,,,,,,31.55793,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_395,-123.2039879,45.62018478,7/8/08 0:00,,,,,,13.37481,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_396,-123.2035958,45.61955087,7/8/08 0:00,,,,,,21.99546,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_397,-123.2010297,45.61762722,7/8/08 0:00,,,,,,28.14492,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_398,-123.1767791,45.61420264,7/8/08 0:00,,,,,,29.01986,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_399,-123.1757943,45.61423483,7/8/08 0:00,,,,,,28.95444,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_400,-123.1747552,45.61397733,7/8/08 0:00,,,,,,30.11661,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_401,-123.173973,45.61403037,7/8/08 0:00,,,,,,23.02051,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_402,-123.172649,45.61397317,7/8/08 0:00,,,,,,19.86019,,,,56,89,30.15,91,18,45,21,30.01,50,0
LS_403,-123.1673725,45.61352663,7/9/08 0:00,,,,,,40.02306,,,,57,86,30.03,90,18,41,27,29.92,55,0
LS_404,-123.1579434,45.61007347,7/9/08 0:00,,,,,,15.86646,,,,57,86,30.03,90,18,41,27,29.92,55,0
LS_405,-123.154238,45.61068293,7/9/08 0:00,,,,,,37.18511,,,,57,86,30.03,90,18,41,27,29.92,55,0
LS_406,-123.1516498,45.61061787,7/9/08 0:00,,,,,,32.87437,,,,57,86,30.03,90,18,41,27,29.92,55,0
LS_407,-123.1493286,45.61050885,7/9/08 0:00,,,,,,24.50763,,,,57,86,30.03,90,18,41,27,29.92,55,0
LS_408,-123.7429235,45.06218704,8/21/07 0:00,,,,,,18.76207,,,,61,96,30.14,79,14,55,47,30.06,59,T
LS_409,-123.7308285,45.06373624,7/25/06 0:00,,,,,,12.45208,,,,58,83,30.01,90,14,42,26,29.89,59,0
LS_410,-123.6848399,45.05860602,8/21/07 0:00,,,,,,22.66194,,,,61,96,30.14,79,14,55,47,30.06,59,T
LS_411,-120.6019365,44.32051331,6/27/07 0:00,,,42.90813,,,,,,,43,71,30.04,86,20,30,17,29.87,46,0
LS_412,-120.3869323,44.50154457,6/27/07 0:00,,,17.20639,,,,,,,43,50,30.11,87,16,32,21,29.89,51,0
LS_413,-120.3870413,44.50152517,6/27/07 0:00,,,15.01625,,,,,,,43,50,30.11,87,16,32,21,29.89,51,0
LS_414,-120.3834967,44.50330343,6/27/07 0:00,,,17.94189,,,,,,,43,50,30.11,87,16,32,21,29.89,51,0
LS_461,-123.5504546,45.85727865,7/9/08 0:00,,,,,,16.9442,,,,57,86,30.03,90,18,41,27,29.92,55,0
LS_462,-123.5382711,45.85319503,7/9/08 0:00,,,,,,18.83862,,,,57,86,30.03,90,18,41,27,29.92,55,0
LS_463,-123.5298524,45.85017766,7/9/08 0:00,,,,,,18.19619,,,,57,86,30.03,90,18,41,27,29.92,55,0
LS_464,-123.5280756,45.84940374,7/9/08 0:00,,,,,,17.0882,,,,57,86,30.03,90,18,41,27,29.92,55,0
LS_465,-123.5252815,45.84800855,7/9/08 0:00,,,,,,17.6662,,,,57,86,30.03,90,18,41,27,29.92,55,0
LS_466,-123.522575,45.84382668,7/9/08 0:00,,,,,,28.898,,,,57,86,30.03,90,18,41,27,29.92,55,0
LS_468,-123.5045321,45.8311804,7/15/08 0:00,,,,,,20.03821,,,,53,67,30.01,92,17,43,21,29.92,59,0
LS_469,-123.5010064,45.83005993,7/15/08 0:00,,,,,,19.33406,,,,53,67,30.01,92,17,43,21,29.92,59,0
LS_470,-123.4991902,45.82937339,7/15/08 0:00,,,,,,19.76219,,,,53,67,30.01,92,17,43,21,29.92,59,0
LS_471,-123.498577,45.82920983,7/15/08 0:00,,,,,,16.95668,,,,53,67,30.01,92,17,43,21,29.92,59,0
LS_472,-123.4956136,45.82816691,7/15/08 0:00,,,,,,20.11443,,,,53,67,30.01,92,17,43,21,29.92,59,0
LS_473,-123.4944321,45.82740377,7/15/08 0:00,,,,,,12.33665,,,,53,67,30.01,92,17,43,21,29.92,59,0
LS_474,-123.4942448,45.82179727,7/15/08 0:00,,,,,,13.0426,,,,53,67,30.01,92,17,43,21,29.92,59,0
