,SLIDE
440,1
441,1
442,1
443,1
445,1
447,1
448,1
449,1
450,1
451,1
454,1
456,1
457,1
458,1
459,1
460,1
462,1
463,1
464,1
465,1
466,1
467,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
481,1
482,1
483,1
485,1
486,1
490,1
491,1
492,1
493,1
494,1
496,1
498,1
500,1
502,1
503,1
504,1
507,1
508,1
510,1
511,1
513,1
514,1
516,1
519,1
520,1
521,1
523,1
524,1
525,1
526,1
527,1
529,1
532,1
533,1
535,1
536,1
537,1
539,1
541,1
543,1
545,1
546,1
547,1
548,1
549,1
551,1
553,1
554,1
555,1
556,1
557,1
560,1
561,1
562,1
563,1
564,1
566,1
567,1
568,1
569,1
570,1
571,1
573,1
574,1
577,1
578,1
579,1
580,1
581,1
582,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
603,1
604,1
605,1
608,1
609,1
611,1
612,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
625,1
626,1
627,1
628,1
630,1
631,1
633,1
634,1
635,1
636,1
639,1
641,1
642,1
643,1
644,1
646,1
647,1
648,1
650,1
651,1
652,1
654,1
655,1
656,1
658,1
661,1
662,1
663,1
664,1
665,1
666,1
668,1
670,1
671,1
672,1
673,1
674,1
676,1
677,1
680,1
681,1
684,1
685,1
686,1
687,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
702,1
703,1
704,1
705,1
706,1
708,1
710,1
711,1
713,1
714,1
715,1
716,1
718,1
719,1
723,1
724,1
726,1
730,1
732,1
733,1
735,1
736,1
737,1
738,1
739,1
740,1
742,1
743,1
745,1
746,1
749,1
750,1
751,1
752,1
753,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
765,1
766,1
767,1
769,1
770,1
772,1
773,1
775,1
776,1
777,1
778,1
781,1
783,1
785,1
787,1
788,1
789,1
790,1
792,1
794,1
795,1
796,1
797,1
798,1
799,1
801,1
802,1
803,1
806,1
808,1
809,1
810,1
811,1
812,1
814,1
815,1
816,1
817,1
818,1
820,1
821,1
822,1
823,1
825,1
826,1
827,1
828,1
829,1
831,1
832,1
833,1
834,1
836,1
838,1
840,1
841,1
842,1
843,1
844,1
845,1
849,1
851,1
852,1
853,1
854,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
864,1
865,1
867,1
868,1
871,1
872,1
873,1
875,1
876,1
878,1
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
898,1
899,1
900,1
902,1
903,1
904,1
907,1
908,1
909,1
910,1
911,1
913,1
915,1
916,1
917,1
918,1
920,1
923,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
934,1
935,1
936,1
938,1
939,1
941,1
944,1
945,1
946,1
947,1
951,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
965,1
966,1
967,1
972,1
973,1
974,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
987,1
988,1
989,1
990,1
992,1
993,1
994,1
995,1
996,1
997,1
999,1
1002,1
1003,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1012,1
1017,1
1019,1
1020,1
1021,1
1023,1
1024,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1033,1
1035,1
1036,1
1038,1
1040,1
1041,1
1042,1
1043,1
1045,1
1048,1
1050,1
1051,1
1053,1
1054,1
1057,1
1058,1
1060,1
1062,1
1064,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1073,1
1075,1
1076,1
1077,1
1078,1
1079,1
1082,1
1083,1
1084,1
1086,1
1087,1
1088,1
1089,1
1091,1
1092,1
1094,1
1096,1
1097,1
1098,1
1099,1
1101,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1115,1
1119,1
1120,1
1122,1
1123,1
1124,1
1126,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1136,1
1137,1
1139,1
1141,1
1142,1
1144,1
1146,1
1147,1
1153,1
1155,1
1156,1
1157,1
1158,1
1161,1
1163,1
1164,1
1166,1
1167,1
1169,1
1170,1
1171,1
1173,1
1175,1
1177,1
1178,1
1184,1
1185,1
1186,1
1187,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1196,1
1197,1
1200,1
1201,1
1203,1
1204,1
1206,1
1207,1
1208,1
1209,1
1210,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1220,1
1223,1
1224,1
1225,1
1226,1
1227,1
1229,1
1230,1
1231,1
1232,1
1233,1
1235,1
1236,1
1237,1
1240,1
1241,1
1244,1
1245,1
1246,1
1247,1
1248,1
1250,1
1251,1
1252,1
1253,1
1254,1
1255,1
1258,1
1259,1
1261,1
1262,1
1263,1
1264,1
1265,1
1268,1
1269,1
1270,1
1272,1
1275,1
1276,1
1278,1
1279,1
1280,1
1281,1
1283,0
1284,0
1285,0
1286,0
1287,0
1290,0
1291,0
1292,0
1296,0
1297,0
1298,0
1301,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1311,0
1312,0
1314,0
1315,0
1318,0
1320,0
1321,0
1323,0
1325,0
1326,0
1328,0
1329,0
1330,0
1331,0
1334,0
1336,0
1337,0
1338,0
1339,0
1345,0
1346,0
1347,0
1348,0
1349,0
1351,0
1352,0
1356,0
1358,0
1359,0
1360,0
1361,0
1362,0
1364,0
1365,0
1366,0
1367,0
1368,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1384,0
1385,0
1386,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1403,0
1404,0
1406,0
1407,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1422,0
1424,0
1425,0
1427,0
1429,0
1430,0
1432,0
1433,0
1436,0
1437,0
1438,0
1439,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1452,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1466,0
1467,0
1469,0
1471,0
1472,0
1474,0
1476,0
1479,0
1480,0
1481,0
1482,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1491,0
1492,0
1493,0
1494,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1515,0
1517,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1529,0
1530,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1541,0
1542,0
1544,0
1545,0
1546,0
1547,0
1548,0
1550,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1565,0
1567,0
1568,0
1573,0
1574,0
1576,0
1578,0
1582,0
1583,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1592,0
1593,0
1594,0
1597,0
1600,0
1601,0
1603,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1612,0
1614,0
1615,0
1616,0
1617,0
1620,0
1621,0
1622,0
1625,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1653,0
1654,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1669,0
1670,0
1672,0
1673,0
1674,0
1676,0
1677,0
1678,0
1679,0
1681,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1693,0
1694,0
1695,0
1697,0
1698,0
1699,0
1700,0
1701,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1711,0
1713,0
1714,0
1716,0
1717,0
1719,0
1720,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1734,0
1735,0
1736,0
1737,0
1739,0
1740,0
1741,0
1742,0
1743,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1752,0
1754,0
1755,0
1757,0
1758,0
1760,0
1761,0
1762,0
1764,0
1765,0
1767,0
1770,0
1772,0
1774,0
1775,0
1777,0
1781,0
1783,0
1785,0
1786,0
1789,0
1791,0
1793,0
1795,0
1796,0
1797,0
1801,0
1802,0
1803,0
1806,0
1808,0
1809,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1819,0
1820,0
1823,0
1824,0
1825,0
1827,0
1828,0
1830,0
1831,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1842,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1852,0
1853,0
1854,0
1856,0
1857,0
1858,0
1862,0
1863,0
1865,0
1866,0
1867,0
1870,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1881,0
1883,0
1885,0
1886,0
1887,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1898,0
1899,0
1901,0
1902,0
1904,0
1905,0
1906,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1916,0
1917,0
1918,0
1919,0
1921,0
1923,0
1925,0
1926,0
1928,0
1929,0
1930,0
1932,0
1933,0
1934,0
1935,0
1937,0
1938,0
1939,0
1940,0
1943,0
1944,0
1945,0
1947,0
1949,0
1950,0
1951,0
1952,0
1953,0
1956,0
1957,0
1958,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1967,0
1972,0
1973,0
1976,0
1977,0
1980,0
1981,0
1984,0
1985,0
1988,0
1991,0
1992,0
1993,0
1996,0
1999,0
2000,0
2001,0
2002,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2014,0
2015,0
2019,0
2020,0
2021,0
2022,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2034,0
2035,0
2038,0
2039,0
2040,0
2041,0
2042,0
2044,0
2045,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2057,0
2059,0
2060,0
2061,0
2062,0
2063,0
2066,0
2067,0
2068,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2084,0
2085,0
2086,0
2087,0
2088,0
2092,0
2093,0
2094,0
2095,0
2096,0
2098,0
2099,0
2100,0
2101,0
2102,0
2104,0
2106,0
2107,0
2109,0
2110,0
2111,0
2113,0
2114,0
2115,0
2117,0
2118,0
2119,0
2120,0
2122,0
2125,0
2126,0
2127,0
2131,0
2132,0
2134,0
2136,0
2137,0
2138,0
2139,0
2140,0
2142,0
2143,0
2145,0
2147,0
2149,0
2150,0
2153,0
2155,0
2158,0
2160,0
2161,0
2162,0
2163,0
2164,0
2166,0
2167,0
2171,0
2172,0
2174,0
2175,0
2176,0
2177,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2188,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2211,0
2214,0
2215,0
2216,0
2219,0
2220,0
2221,0
2223,0
2224,0
2225,0
2226,0
2228,0
2229,0
2231,0
2233,0
2235,0
2236,0
2237,0
2240,0
2242,0
2243,0
2245,0
2247,0
2248,0
2250,0
2251,0
2252,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2267,0
2268,0
2272,0
2273,0
2276,0
2277,0
2278,0
2283,0
2285,0
2286,0
2287,0
2288,0
2289,0
2291,0
2292,0
2295,0
2296,0
2298,0
2300,0
2301,0
2303,0
2305,0
2306,0
2307,0
2308,0
2310,0
2312,0
2314,0
2317,0
2318,0
2319,0
2321,0
2322,0
2323,0
2325,0
2326,0
2328,0
2330,0
2332,0
2333,0
2335,0
2336,0
2337,0
2338,0
2340,0
2341,0
2342,0
2343,0
2345,0
2346,0
2348,0
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,0
2357,0
2360,0
2361,0
2363,0
2364,0
2365,0
2366,0
2367,0
2368,0
2369,0
2370,0
2371,0
2372,0
2374,0
2375,0
2376,0
2378,0
2379,0
2380,0
2382,0
2383,0
2384,0
2388,0
2389,0
2392,0
2393,0
2394,0
2395,0
2396,0
2399,0
2402,0
2405,0
2407,0
2408,0
2409,0
2411,0
2413,0
2414,0
2415,0
2418,0
2422,0
2423,0
2424,0
2426,0
2428,0
